Tue Jun 27 21:52:45 2023    profiling_result.prof

         3524618 function calls (3519948 primitive calls) in 8.095 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      122    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      771    0.002    0.000    0.002    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:1546(generate_pseudo_legal_ep)
        1    0.002    0.002    0.002    0.002 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:359(_rays)
     2553    0.002    0.000    0.002    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:377(between)
        1    0.000    0.000    0.002    0.002 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\asyncio\coroutines.py:1(<module>)
        1    0.000    0.000    0.002    0.002 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\stockfish\models.py:1(<module>)
        1    0.000    0.000    0.002    0.002 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\stockfish\models.py:21(Stockfish)
    21662    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
      649    0.002    0.000    0.002    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:3261(_slider_blockers)
        1    0.000    0.000    0.002    0.002 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\selectors.py:1(<module>)
       94    0.000    0.000    0.002    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\typing.py:1016(__init__)
        7    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
        7    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.002    0.002 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\asyncio\locks.py:1(<module>)
        9    0.000    0.000    0.002    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\sre_compile.py:622(_code)
    59/37    0.000    0.000    0.002    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\typing.py:401(__getitem__)
       61    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      292    0.001    0.000    0.002    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\enum.py:89(__setitem__)
     95/9    0.000    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\sre_compile.py:87(_compile)
